Class,Precision,Recall,F1 Score,Accuracy
0,0.6085271317829457,1.0,0.7566265060240964,1.0
1,0.7669172932330827,0.6219512195121951,0.6868686868686869,0.6219512195121951
2,0.6753246753246753,0.7027027027027027,0.6887417218543046,0.7027027027027027
3,0.8,0.85,0.8242424242424242,0.85
4,0.8247422680412371,0.975609756097561,0.8938547486033519,0.975609756097561
5,0.6370967741935484,0.9813664596273292,0.7726161369193154,0.9813664596273292
6,0.8098591549295775,0.7012195121951219,0.7516339869281046,0.7012195121951219
7,0.5340909090909091,0.618421052631579,0.573170731707317,0.618421052631579
8,0.7840909090909091,0.8414634146341463,0.8117647058823529,0.8414634146341463
9,0.8571428571428571,0.8780487804878049,0.8674698795180723,0.8780487804878049
10,0.9854014598540146,0.9375,0.9608540925266904,0.9375
11,0.9545454545454546,0.8855421686746988,0.91875,0.8855421686746988
12,0.9044585987261147,0.8658536585365854,0.8847352024922118,0.8658536585365854
13,0.8016194331983806,0.9041095890410958,0.8497854077253219,0.9041095890410958
14,0.8475836431226765,0.9743589743589743,0.9065606361829026,0.9743589743589743
15,0.7766990291262136,0.975609756097561,0.8648648648648649,0.975609756097561
16,0.967741935483871,0.8391608391608392,0.898876404494382,0.8391608391608392
17,0.8941176470588236,0.9156626506024096,0.9047619047619048,0.9156626506024096
18,0.75177304964539,0.6385542168674698,0.6905537459283387,0.6385542168674698
19,0.6015625,0.506578947368421,0.55,0.506578947368421
20,0.6066666666666667,0.5481927710843374,0.5759493670886076,0.5481927710843374
21,0.42016806722689076,0.3333333333333333,0.37174721189591076,0.3333333333333333
22,0.9900990099009901,0.6493506493506493,0.7843137254901961,0.6493506493506493
23,1.0,0.9787234042553191,0.989247311827957,0.9787234042553191
24,0.825503355704698,0.7409638554216867,0.780952380952381,0.7409638554216867
25,1.0,1.0,1.0,1.0
26,0.8316326530612245,0.9939024390243902,0.9055555555555556,0.9939024390243902
27,0.7445255474452555,0.6144578313253012,0.6732673267326733,0.6144578313253012
28,1.0,1.0,1.0,1.0
29,0.5172413793103449,0.8333333333333334,0.6382978723404256,0.8333333333333334
30,0.9761904761904762,1.0,0.9879518072289156,1.0
31,0.9038461538461539,0.9552845528455285,0.9288537549407114,0.9552845528455285
32,0.8715596330275229,0.7723577235772358,0.8189655172413793,0.7723577235772358
33,1.0,1.0,1.0,1.0
34,0.9820359281437125,1.0,0.9909365558912386,1.0
35,0.9879518072289156,1.0,0.9939393939393939,1.0
36,0.625,0.42483660130718953,0.5058365758754864,0.42483660130718953
37,0.9940119760479041,1.0,0.996996996996997,1.0
38,0.847457627118644,0.9036144578313253,0.8746355685131195,0.9036144578313253
39,0.9272727272727272,0.34,0.4975609756097561,0.34
40,0.8478260869565217,0.5064935064935064,0.6341463414634146,0.5064935064935064
41,1.0,1.0,1.0,1.0
42,0.9878048780487805,1.0,0.9938650306748467,1.0
43,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077
44,0.8070175438596491,0.5897435897435898,0.6814814814814815,0.5897435897435898
45,0.8924050632911392,0.8493975903614458,0.8703703703703703,0.8493975903614458
46,0.4603174603174603,0.1858974358974359,0.2648401826484018,0.1858974358974359
47,0.9195402298850575,1.0,0.9580838323353293,1.0
48,0.9817073170731707,0.688034188034188,0.8090452261306532,0.688034188034188
49,0.46153846153846156,0.30303030303030304,0.36585365853658536,0.30303030303030304
50,1.0,0.9819277108433735,0.9908814589665653,0.9819277108433735
51,0.8475935828877005,0.9664634146341463,0.9031339031339032,0.9664634146341463
52,0.8782051282051282,0.8353658536585366,0.85625,0.8353658536585366
53,0.8426395939086294,1.0,0.9146005509641874,1.0
54,1.0,1.0,1.0,1.0
55,1.0,0.9939024390243902,0.9969418960244648,0.9939024390243902
56,0.9533333333333334,0.9050632911392406,0.9285714285714286,0.9050632911392406
57,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0
59,0.9431818181818182,1.0,0.9707602339181286,1.0
60,0.8051282051282052,1.0,0.8920454545454546,1.0
61,1.0,0.9698795180722891,0.9847094801223242,0.9698795180722891
62,0.9822485207100592,1.0,0.991044776119403,1.0
63,0.9477124183006536,0.9294871794871795,0.9385113268608414,0.9294871794871795
64,0.46825396825396826,0.37579617834394907,0.4169611307420495,0.37579617834394907
65,0.9647058823529412,0.9879518072289156,0.9761904761904762,0.9879518072289156
66,0.7804878048780488,0.7804878048780488,0.7804878048780488,0.7804878048780488
67,1.0,1.0,1.0,1.0
68,0.934640522875817,0.8614457831325302,0.896551724137931,0.8614457831325302
69,0.9876543209876543,0.963855421686747,0.975609756097561,0.963855421686747
70,0.9696969696969697,0.7710843373493976,0.8590604026845637,0.7710843373493976
71,0.9214285714285714,0.7771084337349398,0.8431372549019608,0.7771084337349398
72,0.6363636363636364,0.34507042253521125,0.4474885844748858,0.34507042253521125
73,0.8961038961038961,0.6764705882352942,0.770949720670391,0.6764705882352942
74,0.9694656488549618,0.7650602409638554,0.8552188552188552,0.7650602409638554
75,0.6701754385964912,0.7764227642276422,0.71939736346516,0.7764227642276422
